SrNo,ItemCode,ItemName,Pack,Manufacturer,HSN,GST%,MRP,PurchaseRate,SellingRate,ScheduleClass,BatchNo,ExpDate,Qty,Loc,Notes
102,VPH-00090,Amlodipine 5mg,Tab,Lupin Ltd,30049099,12,Rs.1195.11,700.94,₹1119.31,,B4378C,11-Mar-2028,160,R3-S3,
103,VPH-00090,Amlodipine 5mg,Tab,Lupin Ltd,30049099,12,Rs.1195.11,201.38,340.95,,B9244A,04/08/27,223,R2-S3,
104,VPH-00091,Becosules,Cap,Torrent Pharma,30049099,12,340.99,225.75,314.23,,B9519H,24-Aug-2026,254,R3-S11,
105,VPH-00092,ORS Sachet 21g,Sachet,Mankind,30049099,5,329.50,184.26,329.32,,B6690G,09/08/2027,199,R8-S12,
106,VPH-00093,Furosemide 40mg,Tab,Pfizer India,30049099,12,₹1627.87,1048.26,1553.42,H,B8343C,07/05/2027,53,R3-S4,
107,VPH-00094,Crocin 500mg टॅब,Tab,Sanofi India,30049099  ,12,₹1615.13,1071.87,1527.00,,B3947G,17-Dec-2027,132,R8-S7,"Pack: Tab, blister"
108,VPH-00095,Salbutamol Inhaler 200d,Inhaler,Torrent,30049099,12,Rs.939.57,₹645.03,Rs.896.17,H,B4182G,19-Apr-2027,403,R3-S2,
109,VPH-00096,Metronidazole 400mg,Tab,SUN PHARMA,30049099  ,12,1660.48,1038.94,1638.79,H,B8726G,19.01.2026,479,R5-S9,"Pack: Tab, blister"
110,VPH-00096,Metronidazole 400mg,Tab,SUN PHARMA,30049099  ,12,1660.48,₹1064.57,1656.12,H,B8347B,05/12/26,43,R3-S7,
111,VPH-00097,Iodex 16g,Ointment,SANOFI,30049099,12,592.05,348.99,548.26,,B3935E,19/05/2027,567,R1-S3,
112,VPH-00098,Iodex 16g,Ointment,Sanofi,30049099,12,554.34,364.06,553.77,,B8697F,07-May-2028,596,R6-S12,
113,VPH-00098,Iodex 16g,Ointment,Sanofi,30049099,12,554.34,1209.80,1681.64,,B9735G,26.01.2027,46,R1-S3,
114,VPH-00099,Pudin Hara Pearls,Cap,Himalaya,30049099,12,148.13,96.35,Rs.143.72,,B9682G,28.03.2028,290,R8-S9,
115,VPH-00100,Metronidazole 400mg,Tab,Abbott,30049099,12,472.79,273.77,438.87,H,B6296D,13-Aug-2027,86,R4-S1,
116,VPH-00101,Furosemide 40mg,Tab,SUN PHARMA,30049099,12,199.84,118.24,₹187.73,H,B4814F,03.04.2028,580,R8-S11,
117,VPH-00102,Revital H,Cap,Himalaya,30049099,12,Rs.601.23,366.69,594.05,,B3316H,21-Jul-2027,526,R5-S7,
118,VPH-00103,Combiflam,Tab,Pfizer India,30049099,12,₹947.06,671.13,936.35,,B1233F,15/04/2027,422,R1-S7,
119,VPH-00104,Disprin,Tab,DR REDDYS,30049099  ,12,1126.24,623.41,1125.99,,B1716E,07-Oct-2026,382,R7-S2,
120,VPH-00104,Disprin,Tab,DR REDDYS,30049099  ,12,1126.24,1161.65,1773.59,,B5671H,15/11/2026,284,R5-S6,
121,VPH-00105,Volini Gel 75g,Gel,SANOFI,30049099,12,₹1372.62,960.12,1268.96,,B2009C,10.07.2026,359,R8-S12,
122,VPH-00106,Iodex 16g,Ointment,LUPIN,30049099  ,12,589.82,397.80,562.96,,B5809F,19.08.2026,28,R8-S3,"Pack: Ointment, blister"
123,VPH-00107,Moov Spray 50g,Spray,ZYDUS,30049099,12,724.87,421.41,708.21,,B5770A,01/06/27,163,R6-S3,"Pack: Spray, blister"
124,VPH-00108,Tramadol 50mg,Cap,Abbott India,30049099,12,1596.78,944.30,1522.56,H,B7462D,31/01/27,419,R3-S4,
125,VPH-00108,Tramadol 50mg,Cap,Abbott India,30049099,12,1596.78,951.37,1409.38,H,B6168B,08/04/2028,231,R7-S11,
126,VPH-00109,Glimepiride 1mg,Tab,PFIZER,  30049099,12,1674.50,Rs.1095.09,1608.29,,B2330B,16/12/2027,149,R1-S6,"Pack: Tab, blister"
127,VPH-00110,Diclofenac 50mg टॅब,Tab,Macleods,30049099,12,1489.83,₹872.59,1440.95,H,B5799E,25/03/2028,258,R1-S12,
128,VPH-00111,Dolo 650mg,Tab,Glenmark Pharma,30049099,12,518.36,361.48,506.33,,B7772B,19/06/2026,79,R6-S11,
129,VPH-00112,Volini Gel 75g,Gel,Torrent,30049099,12,340.20,257.13,Rs.317.74,,B4674A,11.07.2027,285,R8-S8,
130,VPH-00113,Insulin Glargine 100IU,Vial,Lupin Ltd,30043990,5,350.48,232.19,347.42,H,B8851H,20.02.2027,390,R6-S8,
131,VPH-00114,Dolo 650mg,Tab,Alkem Labs,30049099,12,404.26,Rs.312.66,376.80,,B4235G,06/11/26,410,R1-S8,
132,VPH-00115,Moov Spray 50g,Spray,Alkem Labs,30049099,12,517.32,₹367.76,₹516.03,,B9467G,24.11.2027,387,R3-S2,"Pack: Spray, blister"
133,VPH-00116,Cefixime 200mg,Tab,Pfizer,30041000  ,12,1773.21,1094.81,1677.55,H,B3843G,04/02/27,197,R3-S2,
134,VPH-00116,Cefixime 200mg,Tab,Pfizer,30041000  ,12,1773.21,1263.37,1609.23,H,B3695C,25-May-2027,116,R2-S4,
135,VPH-00117,Prednisolone 5mg,Tab,Zydus Cadila,  30049099,12,1037.37,809.05,959.41,H,B5044D,15/03/2028,320,R6-S12,
136,VPH-00118,Insulin Glargine 100IU,Vial,TORRENT,30043990,5,1847.03,1210.68,1818.77,H,B2178C,26/02/28,198,R7-S7,
137,VPH-00118,Insulin Glargine 100IU,Vial,TORRENT,30043990,5,1847.03,234.86,353.12,H,B5138C,20.08.2026,301,R2-S7,
138,VPH-00119,Digene Gel 200ml,Liquid,Himalaya,30049099,12,339.48,187.34,329.68,,B6359H,06.02.2027,310,R7-S9,
139,VPH-00120,Levofloxacin 500mg,Tab,Pfizer India,30041000,12,973.54,₹553.41,Rs.951.99,H,B4953F,25.04.2028,170,R3-S5,
140,VPH-00121,Omeprazole 20mg,Cap,Glenmark,30049099,12,1097.00,796.54,Rs.1062.58,,B9961E,08-Sep-2026,569,R1-S7,
141,VPH-00122,Levofloxacin 500mg,Tab,Zydus Cadila,30041000,12,₹1581.73,1221.67,1574.87,H,B5528F,08/09/26,188,R5-S5,
142,VPH-00123,Crocin 500mg टॅब,Tab,ZYDUS,30049099,12,139.49,104.19,128.99,,B1672E,03.05.2027,156,R5-S4,
143,VPH-00124,Becosules,Cap,Dr Reddy's,  30049099,12,162.57,102.11,152.86,,B1111D,31-Jul-2026,8,R8-S5,
144,VPH-00125,Cough Syrup 100ml,Syrup,Macleods,30049099,12,201.77,124.51,187.25,,B2140C,26/03/2028,119,R8-S9,
145,VPH-00126,Furosemide 40mg,Tab,Himalaya,30049099  ,12,1838.41,1035.70,1779.80,H,B3667D,03-Jun-2026,486,R5-S5,
146,VPH-00127,Crocin Advance,Tab,ALKEM,30049099  ,12,9.84,6.43,9.68,,B2093E,02/05/28,219,R5-S4,
147,VPH-00128,Vicks Action 500,Tab,cipla ,30049099,12,1526.38,1144.75,1487.77,,B6607H,26.07.2026,264,R2-S3,
148,VPH-00129,Tramadol 50mg,Cap,HIMALAYA,30049099,12,57.52,34.78,54.88,H,B2029H,03-May-2028,351,R7-S6,
149,VPH-00130,Aspirin 75mg,Tab,Abbott India,30049099,12,1583.59,1023.65,1469.78,,B8241E,09-Mar-2027,459,R5-S12,
150,VPH-00131,Revital H,Cap,SANOFI,30049099,12,Rs.1015.57,661.21,953.02,,B3693B,02.07.2027,12,R8-S10,
151,VPH-00132,Domperidone 10mg,Tab,Mankind Pharma,30049099,12,₹934.91,648.46,931.51,,B3386G,23/07/26,570,R5-S5,
152,VPH-00133,Disprin,Tab,Alkem,30049099,12,1599.56,932.07,1561.08,,B5375D,16-Jan-2028,10,R4-S10,
153,VPH-00134,Revital H,Cap,PFIZER,30049099  ,12,1377.51,973.88,1311.99,,B6537F,04.02.2028,409,R5-S11,
154,VPH-00135,Salbutamol Inhaler 200d,Inhaler,Pfizer,30049099,12,1399.90,820.38,₹1347.17,H,B5966B,17/08/27,74,R8-S5,
155,VPH-00136,Disprin,Tab,Glenmark,30049099,12,₹1849.04,1233.03,1725.21,,B1772F,07-Mar-2027,379,R7-S11,
156,VPH-00137,Iron Folic Acid,Tab,TORRENT,30049099,12,1824.58,1086.78,1766.48,,B9420F,23-Mar-2027,330,R6-S9,
157,VPH-00138,Glucose D 100g,Sachet,Glenmark,21069099,18,738.14,484.60,Rs.738.07,,B8310G,19/09/26,280,R2-S7,
158,VPH-00138,Glucose D 100g,Sachet,Glenmark,21069099,18,738.14,505.94,724.21,,B5310C,21/08/26,518,R2-S7,
159,VPH-00139,Eno Fruit Salt 100g,Sachet,SANOFI,30049099  ,12,₹1463.10,886.77,1453.33,,B4536H,21.06.2027,531,R1-S3,
160,VPH-00140,Volini Gel 75g,Gel,Alkem,  30049099,12,705.67,₹446.92,665.40,,B2259G,05/06/2026,73,R7-S11,
161,VPH-00141,Crocin 500mg टॅब टॅब,Tab,Macleods Pharma,30049099  ,12,1758.94,1294.84,1658.17,,B7616B,27.11.2026,310,R8-S3,
162,VPH-00142,Antacid Gel 170ml,Liquid,ALKEM,30049099,12,1484.90,855.60,1367.60,,B2537H,04/06/2026,204,R4-S4,"Pack: Liquid, blister"
163,VPH-00143,Aspirin 75mg,Tab,Zydus,30049099,12,864.42,649.11,840.15,,B6866D,29/10/2027,101,R7-S10,
164,VPH-00144,Becosules,Cap,Sun Pharmaceutical,30049099,12,Rs.1477.03,1085.26,1410.49,,B4934G,05-Jun-2027,43,R3-S11,
165,VPH-00145,Domperidone 10mg,Tab,Lupin Ltd,30049099,12,₹135.83,₹85.89,128.19,,B5955G,04.03.2027,150,R7-S9,
166,VPH-00146,Salbutamol Inhaler 200d,Inhaler,Mankind,30049099,12,853.71,₹507.46,816.05,H,B4938D,25-Nov-2026,524,R1-S1,
167,VPH-00146,Salbutamol Inhaler 200d,Inhaler,Mankind,30049099,12,853.71,₹514.14,831.47,H,B6934H,10/12/2027,540,R5-S11,
168,VPH-00147,Insulin Glargine 100IU,Vial,ALKEM,30043990  ,5,319.96,Rs.182.63,312.21,H,B5194D,14/09/26,519,R4-S4,
169,VPH-00148,Insulin Glargine 100IU,Vial,ABBOTT,30043990  ,5,1073.34,796.25,₹1015.33,H,B7345H,07/01/28,109,R1-S7,
170,VPH-00149,Folic Acid 5mg,Tab,TORRENT,30049099,12,₹1168.57,703.10,1137.16,,B6560D,13-May-2027,467,R4-S11,"Pack: Tab, blister"
171,VPH-00150,Iron Folic Acid,Tab,Torrent,30049099,12,1047.69,760.26,₹980.24,,B4020D,20/02/2027,522,R5-S6,
172,VPH-00151,Pantoprazole 40mg,Tab,Dr Reddy's,30049099,12,402.61,256.82,402.23,,B8740G,11/01/2027,481,R4-S4,
173,VPH-00152,Furosemide 40mg,Tab,Cipla,30049099,12,860.82,489.51,806.07,H,B7240F,01/07/2027,277,R8-S11,
174,VPH-00153,Iron Folic Acid,Tab,Mankind Pharma,30049099,12,1368.27,938.44,₹1333.67,,B3232F,02/09/2027,246,R5-S2,
175,VPH-00154,Ranitidine 150mg,Tab,Dr. Reddy's Labs,30049099,12,97.16,68.65,96.53,,B6208A,02/12/26,106,R6-S2,
176,VPH-00154,Ranitidine 150mg,Tab,Dr. Reddy's Labs,30049099,12,97.16,811.08,1260.34,,B2077H,25/03/27,293,R8-S7,
177,VPH-00155,Tramadol 50mg,Cap,Dr Reddys,30049099,12,103.68,67.50,98.83,H,B7777E,05/09/2026,220,R6-S8,
178,VPH-00155,Tramadol 50mg,Cap,Dr Reddys,30049099,12,103.68,281.31,454.00,H,B4586G,14.12.2026,272,R3-S9,"Pack: Cap, blister"
179,VPH-00156,Insulin Glargine 100IU,Vial,Himalaya Drug Co,30043990,5,185.22,103.76,184.86,H,B7472C,13/01/2027,550,R3-S10,
180,VPH-00157,Crocin 500mg टॅब,Tab,Sanofi,30049099,12,1392.06,Rs.939.09,1304.37,,B6840F,12.01.2026,518,R4-S10,
181,VPH-00158,Dolo 650mg,Tab,Abbott India,30049099,12,738.17,Rs.422.42,733.41,,B2073H,24.09.2027,404,R6-S12,
182,VPH-00159,Atorvastatin 10mg,Tab,Himalaya,  30049099,12,Rs.1089.88,733.16,1054.84,,B1198A,13/12/2026,57,R2-S1,
